OBJECTID,GEO,GEOID,NAME,DATE,POSITIVE,POS_NEW,POS_7DAYAVG,NEGATIVE,NEG_NEW,NEG_7DAYAVG,DEATHS,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_YES,HOSP_NO,HOSP_UNK,POP,POP_MOE,PCT_POP_65,PCT_SMK,PCT_COPD,PCT_CVD,PCT_DIAB,POP_65_WI,SMK_WI,COPD_WI,CVD_WI,DIAB_WI,ShapeSTArea,ShapeSTLength
4312,County,55019,Clark,2021/05/01 19:00:00+00,3233,5,2.57,11306,15,14.57,58,0,0,20,17.14,239,2814,180,34491,,17.29944446,16.15990599,7.13812197,3.76249131,7.64311868,16.96037624,17.6,5.3,7.7,8.9,6255341804.70312,326265.465979257
4318,County,55049,Iowa,2021/05/01 19:00:00+00,2010,2,2.14,11549,10,9.43,10,0,0,12,11.57,83,916,1011,23620,,18.2108492,12.67133605,5.30731296,6.05865792,9.77820817,16.96037624,17.6,5.3,7.7,8.9,3720940924.01172,261542.141247622
4349,County,55121,Trempealeau,2021/05/01 19:00:00+00,3527,-1,3,12812,18,17.14,41,0,0.14,17,20.14,117,1557,1853,29438,,18.33151507,18.34090142,6.59544115,8.86041484,10.42456346,16.96037624,17.6,5.3,7.7,8.9,3752945297.70703,313837.647781854
4352,County,55123,Vernon,2021/05/01 19:00:00+00,1911,1,1.57,12994,4,10.57,39,0,0,5,12.14,76,971,864,30516,,19.40436491,18.97032656,5.59015549,6.48540837,8.24682918,16.96037624,17.6,5.3,7.7,8.9,4031951200.36719,305596.120070778
4388,County,55029,Door,2021/05/01 19:00:00+00,2585,1,1,14700,23,16.86,22,0,0,24,17.86,91,560,1934,27439,,29.25029411,10.72315606,3.24541969,11.29897678,13.56038636,16.96037624,17.6,5.3,7.7,8.9,2521368817.16797,677955.026268376
4391,County,55057,Juneau,2021/05/01 19:00:00+00,3135,12,5.86,14910,6,13.71,22,0,0.14,18,19.57,170,1195,1770,26419,,21.66641891,29.32291596,4.00853992,12.26053847,8.49558053,16.96037624,17.6,5.3,7.7,8.9,4020998381.36328,337622.596943843
4404,County,55085,Oneida,2021/05/01 19:00:00+00,3622,4,3.14,15561,14,17,69,0,0.14,18,20.14,185,1513,1924,35345,,25.90148414,18.63932834,6.9042275,9.49114516,9.294129,16.96037624,17.6,5.3,7.7,8.9,6566178133.62891,372653.775626682
4428,County,55045,Green,2021/05/01 19:00:00+00,3483,2,3,17552,12,20.71,18,0,0.14,14,23.71,181,2522,780,36864,,18.37836372,10.34528473,5.56913884,10.79049601,11.94327719,16.96037624,17.6,5.3,7.7,8.9,2802746926.62891,212054.042949137
4431,County,55083,Oconto,2021/05/01 19:00:00+00,4417,6,4.29,17713,23,23.29,53,0,0.43,29,27.57,222,3696,499,37556,,19.4747379,16.69607184,5.52454603,10.80684821,14.19632973,16.96037624,17.6,5.3,7.7,8.9,5272721828.58594,438930.708423251
4432,County,55093,Pierce,2021/05/01 19:00:00+00,3912,3,10.57,17748,39,29,36,0,0,42,39.57,130,2654,1128,41603,,14.02425844,13.97356783,4.68974582,7.49678807,9.05044219,16.96037624,17.6,5.3,7.7,8.9,3035527920.54688,232701.849894899
4440,County,55115,Shawano,2021/05/01 19:00:00+00,4679,3,1.43,18240,30,23.14,72,1,0.29,33,24.57,213,3493,973,41009,,21.64808531,17.11124847,4.72109959,6.84776744,10.72457941,16.96037624,17.6,5.3,7.7,8.9,4676549354.62109,357954.859127478
4456,County,55075,Marinette,2021/05/01 19:00:00+00,4114,3,6.29,19560,55,29.43,66,0,0,58,35.71,246,2678,1190,40537,,24.06810299,21.91945681,7.45897745,6.03516482,8.75925893,16.96037624,17.6,5.3,7.7,8.9,7503690030.89844,552940.77206864
4457,County,55033,Dunn,2021/05/01 19:00:00+00,4611,3,3.14,19676,8,19.43,32,0,0,11,22.57,165,2370,2076,44498,,16.4727427,15.0202334,3.31707998,3.94436234,8.16904953,16.96037624,17.6,5.3,7.7,8.9,4466794838.08594,277720.579072528
